,Job Name,Company Name,City Name,Payment,Payment Rate,Begin Date,End Date,Job Order,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
122,Housekeeper,Hyatt Regency Indian Wells Resort and Spa,"Indian Wells, CA",$17.66,hour,11/14/2022,6/16/2023,View Job Order,,dan.johnson@hyatt.com,https://www.caljobs.ca.gov/,Yes,10,"Perform any combination of light cleaning duties to maintain clean rooms and common areas.  Duties include making beds, replenishing linens, cleaning rooms and halls, vacuuming and cleaning marble floors (restaurant, front desk, lobby and library floor areas).  May perform other related cleaning duties as necessary.",No,,"Must be capable of regular periodic lifting of at least 30 lbs.  

Scheduled for one 8-hour shift 8:30-4:30pm or 2:00pm  10:00pm, Sunday  Saturday, with 1-2 days off per week.  May be required to work weekends and overtime.  ",40,8:30 A.M. - 4:30 P.M.
123,Helpers-maintenance,Greenlight Foodservice LLC,"Newark, NJ",$20.51,hour,11/14/2022,4/5/2023,View Job Order,+19088795922,bob@greenlightfoodservice.com,,Yes,5,"Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",No,,"Post-employment random drug testing & background checks may be required, at no cost to the worker. The job requires the applicant to be qualified, ready, willing, able, & available to perform during the entire employment at the designated worksite; to enter into & comply with employment contract; to follow workplace rules. 
",35,9:00 A.M. - 5:00 P.M.
124,Laundry Attendant,"Jay Peak, Inc.","Jay, VT",$14.91-$15.00,hour,11/15/2022,5/1/2023,View Job Order,+18029882611,msheffer@jaypeakresort.com,,Yes,4,"Laundry Attendants will be responsible for performing all stages of linen processing, sorting and weighing soiled and unsoiled linens, cleaning laundry machines and areas, assisting in laundry inventories, and folding and storing laundry bags.  Laundry Attendants may need to lift and carry up to fifty (50) pounds. Please see attached job description for additional information.",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of experience at a high-end hotel, resort, or private club.   Applicant must complete pre-employment COVID-19 test.  
",35,7:00 A.M. - 2:00 P.M.
125,Cook Ii,Sun Valley Company,"Sun Valley, ID",$20.00-$22.00,hour,11/15/2022,4/1/2023,View Job Order,+12086224111,kabbott@sunvalley.com,,Yes,20,"Cooks II will be responsible for preparing and cooking large quantities of soups, meats, vegetables, desserts, and other food items in a cafeteria environment.

Please see job description for additional information.",Yes,6,"The Petitioner will consider for employment any person who possesses at least six (6) months of experience in a high-end or high-volume restaurant, resort, private club, or tourism environment. Applicant must complete pre-employment background check.
",35,6:00 A.M. - 1:00 P.M.
126,Server,Margaritaville Hollywood Beach Resort,"Hollywood, FL",$14.00,hour,11/15/2022,9/14/2023,View Job Order,+19548744418,aargoitia@mhbr.com,,Yes,16,"A Server greets and takes food and drink orders from restaurant guests, serving the orders and accommodating special needs/requests. Remains attentive to the customers throughout the entire dining experience, adhering to or exceeding service standards as established by the restaurant at all times. Completes all restocking and cleaning duties by performing opening and closing side work as instructed. Controls allocated guest checks by following established check-use procedures and legibly documenting all required information as the customer's order is taken and processed. Receives proper payment from guest and ensures accuracy.",Yes,3,"The petitioner will consider any person for employment who possesses at least three (3) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club.
Applicant must provide out of Country police report and complete pre - employment drug screening.
Applicant must also hold ""ServSafe"" and ""TIPS"" Certifications.  Not mandatory upon hire, but preferred, will help obtain.

Work schedule can vary and can include evening, weekend, and holiday hours. Work may be performed on any day of the week from Monday through Sunday. Shifts may vary. Sample shifts: 7:00am-3:30pm, 8:00am-4:30pm, 9:00am-5:30pm. Double shifts and OT offered and available.",40,7:00 A.M. - 3:30 P.M.
127,Public Area Attendant,"Jay Peak, Inc.","Jay, VT",$17.05-$18.00,hour,11/15/2022,5/1/2023,View Job Order,+18029882611,msheffer@jaypeakresort.com,,Yes,6,"Public Area Attendants will be responsible for cleanliness for all public/common areas at Jay Peak’s property, including entry ways, restrooms, common rooms, dining rooms, lobbies, and offices. Please see attached job description for additional information.",Yes,3,"The Petitioner will consider for employment any person who possesses at least (3) months of cleaning experience at a high-end hotel, resort, or private club.   Applicant must complete pre-employment COVID-19 test.  
",35,7:00 A.M. - 2:00 P.M.
128,Lifeguard,"Jay Peak, Inc.","Jay, VT",$15.93-$16.93,hour,11/15/2022,5/1/2023,View Job Order,+18029882611,msheffer@jaypeakresort.com,,Yes,10,"Lifeguards will be responsible for ensuring safety of pool equipment, pool grounds, and guests, maintaining pool and pool deck, including hosing off pool decks, removing any debris on pool decks and in pools, keeping tubes stacked neatly and controlling use of tubes, and keeping pool furniture and umbrellas neat and clean, maintaining the supply of pool towels for guests, carrying soiled towels to and obtaining clean towels from laundry, and keeping pool towels neatly folded and stacked for guest use. Please see attached job description for additional information.",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of lifeguard experience at a high-end hotel, resort, or private club.  Applicant must complete pre-employment COVID-19 test.  
",35,10:00 A.M. - 5:00 P.M.
129,Room Attendant/house Attendant,Margaritaville Hollywood Beach Resort,"Hollywood, FL",$13.06,hour,11/15/2022,9/14/2023,View Job Order,+19548744418,aargoitia@mhbr.com,,Yes,16,"Room Attendants/House Attendant will be responsible for cleaning and maintaining all rooms, suites, and indoor common areas at the property, which includes vacuuming floors, dusting, replenishing linens and towels, disinfecting bathrooms, and washing windows. Ensure adherence to quality, expectations and standards.",Yes,3,"The petitioner will consider any person for employment who possesses at least three (3) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club. Applicant must provide out of Country police report and complete pre-employment drug screening.

40 hrs/week. Work schedule can vary and can include evening, weekend, and holiday hours. Work may be performed on any day of the week from Monday through Sunday. Shifts may vary. Sample shifts: 7:00am-3:30pm, 8:00am-4:30pm, 9:00am-5:30pm. OT offered and available.
",40,7:00 A.M. - 3:30 P.M.
130,Housekeeping Supervisor,Waterloo Hospitality INC,"Reno, FL",$20.27-$20.30,hour,11/15/2022,8/11/2023,View Job Order,+17869429774,h2bhires@gmail.com,,Yes,1,"•	Supervise work of housekeepers
•	Ability to coordinate/inspect activities of junior housekeeping staff & Manage diverse group of people
•	Ability to coordinate paperwork from employees as needed
•	Ability to guide and perform disciplinary actions as needed
•	Liaise as middle person between hotel and staff
•	Clean hotel/resort guest rooms, condos, cottages, villas including dusting sweeping, moping, and vacuuming
•	Make beds and replenish linens and do laundry
•	Clean bathroom and dishes in kitchen, emptying trash, cleaning hallways and public area
•	Clean dishes, kitchen, food preparation equipment & Utensils
",Yes,12,"	Work schedule is at least 5 days/week with shifts varying by day and work days varying by week to include Saturday and Sunday. Weekends and Holidays required. 
	Rotating day and evening shifts may be offered. 
	Must be available to work any shift: 8:00am - 4:00pm; 4:00pm - 10:00pm and 11pm - 7am (when needed)
	Overtime if available occurs after/over 40 hrs/WK.
	Minimum 12-month hotel/resort housekeeping experience required
	Rotate/split shifts
	Supplies, work tools and equipment are provided free
	The employer will make all deductions from worker's paycheck required by law
	Must lift/carry 50 lbs., when necessary.  
",35,8:00 A.M. - 4:00 P.M.
131,Commercial Truck Driver,ATP AGRI-SERVICES INC,"ZOLFO SPRINGS, FL",$21.06,hour,11/15/2022,5/31/2023,View Job Order,+18637734202,,https://www.employflorida.com/vosnet/Default.aspx,Yes,12,"Drive semi tractor-trailer truck from product pickup locations to delivery sites; maneuver trucks into loading or
unloading positions. Complete pre-trip inspections and paperwork on trucks. Read and interpret maps to
determine vehicle routes and use global positioning systems (GPS) to successfully navigate to a specific location.",Yes,12,"COMMERCIAL DRIVERS LICENSE

* Saturday and Sunday work required, when necessary. Employer-paid drug testing required of foreign and domestic workers prior to commencing work and post-hire at random, upon suspicion of use, and post-accident. Must possess or be able to obtain a Class A CDL or equivalent.  

* Occupation requires the driving of trucks to locations throughout the area of intended employment. Employee will return to worksite at the end of every day. 

* Daily transportation to and from the worksite from a centralized designated pick up place will be offered to workers at no charge. The use of this transportation is voluntary. 

* Saturday and Sunday work may be required. 

* The worker may be offered more than the stated hours per day, depending on weather and other conditions. Extreme heat, cold, rain, or drought may affect exact working hours. 

* Drug Testing/Screening. Employer-paid drug testing required of foreign and domestic workers prior to commencing work and post hire at random, upon suspicion of use, and post-accident.",60,6:00 A.M. - 6:00 P.M.
132,Front Desk Agent,"Jay Peak, Inc.","Jay, VT",$16.27-$18.00,hour,11/15/2022,5/1/2023,View Job Order,+18029882611,msheffer@jaypeakresort.com,,Yes,5,"Front Desk Agents will be responsible for operating telephones in a polite and friendly manner following proper telephone etiquette, greeting guests, assisting with reservations and luggage, distributing Resort information and schedules, and collecting and sorting the mail on a daily basis. Please see attached job description for additional information.",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of guest service experience at a high-end hotel, resort, or private club.  Applicant must complete pre-employment COVID-19 test.  
",35,7:00 A.M. - 2:00 P.M.
133,Thoroughbred Racehorse Groom,Jami Poole Racing,"Youngstown, OH",$11.84,hour,11/15/2022,7/31/2023,View Job Order,+17244563116,Jamipooleracing@gmail.com,,Yes,3,"ATTENDS TO THE OVERALL CARE OF THOROUGHBRED RACEHORSES INCLUDING
FEED, WATER, MAINTENANCE OF STALLS & TACK, CLEAN, BRUSH, TRIM OF HORSES,
DISINFECT STALLS & BEDDING. WILL LIFT LEGS AND CLEAN HORSES FEET AND
APPLY LINIMENTS AND BANDAGES TO LEGS AS REQUIRED. WILL CARE FOR 1-5
HORSES AT A TIME. SPLIT SHIFT 5-11 AMD AND 3-5 PM. DAYS OFF ROTATES.",Yes,1,"Must be able to lift 50 Lbs
",56,5:00 A.M. - 5:00 P.M.
134,Housekeeper,Sun Valley Company,"Sun Valley, ID",$14.00-$18.00,hour,11/15/2022,4/1/2023,View Job Order,+12086224111,kabbott@sunvalley.com,,Yes,10,"Housekeepers will be responsible for cleaning and maintaining all rooms, suites, and indoor common areas at Sun Valley Resorts property, which includes vacuuming floors, dusting, laundering and replenishing linens and towels, disinfecting bathrooms, and washing windows.

Please see job description for additional information. ",No,,"Applicant must complete pre-employment background check.
",35,8:00 A.M. - 3:00 P.M.
135,Housekeepers/cleaners,DBA North Conway Grand Hotel,"North Conway, NH",$20.00,hour,11/30/2022,4/21/2023,View Job Order,,resumes@newporthotelgroup.com,nhworksjobmatch.nhes.nh.gov/,Yes,15,"Housekeeper/Cleaners will be responsible for thorough cleaning of all guests rooms, spa, pool, recreational areas, hallways, lobbies, restrooms, elevators, stairways, function space, food and beverage outlets, and other public areas. Cleaning responsibilities include replacing linen and terry, replenishing guest amenities, emptying wastebaskets, dusting, mopping, vacuuming, cleaning windows, washing and folding laundry, replacing guest supplies, and keeping storage areas and carts stocked and organized.",No,,"Must lift/carry 50 lbs., when necessary. Basic level English skills required. Work schedule will vary and will include evenings, holidays, and Saturdays and Sundays. Work may be performed on any day of the week from Monday through Sunday. Example shifts: 9:00am to 4:00 pm, 2:00 pm to 9:00 pm, and 5:00 pm to 12:00 am. Shift hours may vary.
",35,9:00 A.M. - 4:00 P.M.
136,Food Preparer,LA PARRILLA MEXICAN RESTAURANT,"ATLANTA, GA",$13.06,hour,11/25/2022,7/31/2023,View Job Order,+16783542700,FLC@LAPARRILLA.COM,WWW.LAPARRILLA.COM/EMPLOYMENT/,Yes,9,"Prepare, wash, peel, cut, and seed fruits and vegetables and prepare for cooking.
Maintain work area and counters clean and sanitary conditions.
Portion, wrap and package catering food orders.
Assist head cook with various tasks.",No,,"MUST BE AT LEAST 18.
MUST BE WILLING TO WORK WEEKENDS.",40,10:00 A.M. - 7:00 P.M.
137,Horse Show Groom,"Southern Show Stables, Inc.","Wellington, FL",$14.11,hour,11/30/2022,4/1/2023,View Job Order,+15612049416,info@southernshowstables.com,,Yes,13,"Horse Show Groom: Will be responsible for the care of top show horses including grooming, feeding, watering, bathing, body clipping & supervised turnout. Groom will maintain and clean stalls & work area daily. Groom will observe and report horse's physical condition to manager daily. Must be able to lift and carry 60 pounds up to 100 feet. Groom will be responsible for the care of 3 to 5 horses at a time which will include tacking up & checking for correct fit of bridles, martingales, saddles & other equipment.

The work schedule is 8:00am to 4:30pm with a 30 minute lunch break.",Yes,3,,48,8:00 A.M. - 4:30 P.M.
138,"Server, Food and Beverage",DBA North Conway Grand Hotel,"North Conway, NH",$18.00,hour,11/30/2022,4/21/2023,View Job Order,,resumes@newporthotelgroup.com,nhworksjobmatch.nhes.nh.gov/,Yes,8,"Responsible for taking, preparing, delivering and clearing food and beverage orders in the restaurant and during banquet events, setting up tables, chairs and buffets, and cleaning up food and beverage outlets preparing and processing checks, responding to questions, requests, and complaints.",No,,"Must lift/carry 50 lbs., when necessary. Fluent  English skills required. Work schedule will vary and will include evenings, holidays, and Saturdays and Sundays. Work may be performed on any day of the week from Monday through Sunday. Example shifts: 7:00am to 2:30 pm, 2:00 pm to 9:30 pm, and 4:30 pm to 12:00 am. Shift hours may vary.
",35,7:00 A.M. - 2:30 P.M.
139,Merchandise Driver,TRIPLE R TRANSPORTING INC.,"Lake Placid, FL",$14.17,hour,11/20/2022,6/30/2023,View Job Order,+18632439410,TripleRtransporting@gmail.com,,Yes,10,"Drives vehicles such as a truck or van, primarily to deliver or pick up merchandise or to deliver packages. May load and unload merchandise, household goods, and objects into vehicle. Reports of any delays, accidents, or other traffic problems along designated route from facility to destination. Follows safety procedures for vehicle operation. Verifies contents of merchandise and goods with facility personnel before leaving. Greets customers and clients and ensures safety of merchandise and goods.",Yes,1,Must have one (1) month experience as a Merchandise Driver.,40,9:00 A.M. - 5:00 A.M.
140,"Cooks, Restaurant",DBA North Conway Grand Hotel,"North Conway, NH",$23.00,hour,11/30/2022,4/21/2023,View Job Order,,resumes@newporthotelgroup.com,nhworksjobmatch.nhes.nh.gov/,Yes,6,"Cooks will be responsible for preparing meats, seafood, vegetables, and other items required for line and special function purposes by grilling, sautéing, frying, and cooking at correct temperatures, following recipes when preparing items, assisting with preparation of other food products, using safe and sanitary food handling procedures, rotating stock, maintaining a clean work station, equipment, kitchen, and employee meal area, disposing of trash and food preparation waste, and cleaning and washing all related pots, pans, dishes, utensils, and glassware.",Yes,3,"Must lift/carry 50 lbs., when necessary. Basic level English skills required. Work schedule will vary and will include evenings, holidays, and Saturdays and Sundays. Work may be performed on any day of the week from Monday through Sunday. Example shifts: 7:00am to 2:30 pm, 2:00 pm to 9:30 pm, and 4:30 pm to 12:00 am. Shift hours may vary.
",35,7:00 A.M. - 2:30 P.M.
141,Service Technician,TRIPLE R TRANSPORTING INC.,"Lake Placid, FL",$18.43,hour,11/20/2022,6/30/2023,View Job Order,+18632439410,TripleRtransporting@gmail.com,,Yes,6,"Diagnose, adjust, repair, or overhaul automotive vehicles. Test drive vehicles and test components and systems, using equipment such as infrared engine analyzers, compression gauges, and computerized diagnostic devices. Inspect vehicles for damage and record findings so that necessary repairs can be made.",Yes,1,Must have one (1) month experience as a Service Technician.,40,9:00 A.M. - 5:00 P.M.
142,Prep Cook,The Little Nell,"Aspen, CO",$19.00-$21.00,hour,11/20/2022,4/20/2023,View Job Order,+19709206397,,aspensnowmass.com/jobs,Yes,10,***See attached Full Notice text.***,Yes,3,"Must be able to work weekends.
",40,6:00 A.M. - 2:30 P.M.
143,Laborer,TRIPLE R TRANSPORTING INC.,"Lake Placid, FL",$14.17,hour,11/20/2022,6/30/2023,View Job Order,+18632439410,triplertransporting@gmail.com,,Yes,6,"Move freight, stock, or other materials to and from storage or production areas, loading docks, delivery vehicles, ships, or containers, by hand or using trucks, tractors, or other equipment. Sort cargo before loading and unloading. Attach identifying tags to containers or mark them with identifying information.",Yes,1,Must have one (1) month experience as a Laborer.,40,9:00 A.M. - 5:00 P.M.
144,Snow Removal Technician,A MACCHIA SNOW REMOVAL INC,"ELMFORD, NY",$19.22,hour,11/23/2022,2/20/2023,View Job Order,+18453727856,amacchiasnowremoval@gmail.com,,Yes,5,"SHOVEL AND PLOW SNOW, GROUNDS MAINTENANCE AND OTHER DUTIES AS ASSIGNED TO FACILITIES AND ROADS MAINTENCE. POTENTIAL FALL & SPRING CLEANUPS. DE-ICINGAND REMOVAL OF SNOW FROM WALKS, DRIVEWAYS AND PARKING LOTS FOR VARIOUS RESIDENTIAL AND COMMERCIAL PROPERTIES. MAY DRIVE VEHICLES. OTHER DUTIES AS ASSIGNED TO FACILITIES AND ROADS MAINTENCE includes sweeping up sand and picking up debris on roads after snow has melted. Facilities work includes maintaining all machines such as snow blowers, leaf blowers, lawn mowers by changing oil, cleaning filters, carburetors. Keep all work areas clean. TEMPORARY FULL TIME EMPLOYMENT. EMPLOYER WILL TRANSPORT WORKERS TO AND FROM EACH JOB LOCATION. MAY GET UP TO 10 HOURS OVERTIME WHEN AVAILABLE
 

.",No,,,40,8:00 A.M. - 4:00 P.M.
145,Landscape Labor- Snow Removal,"HUSKIE'Z PROPERTIES, LLC","Bluffdale, UT",$17.21,hour,12/1/2022,3/31/2023,View Job Order,+18015416263,heatherhinckley0425@gmail.com,,Yes,12,CLEARING SNOW FROM DRIVEWAYS AND SIDEWALKS WITH HAND SHOVELS,Yes,2,LIFT SNOW WITH SNOW SHOVELS,44,5:00 A.M. - 10:00 A.M.
146,Dishwasher,LA PARRILLA MEXICAN RESTAURANT,"ATLANTA, GA",$11.56,hour,11/25/2022,7/31/2023,View Job Order,+16783542700,flc@laparrilla.com,www.laparrilla.com/employment/,Yes,12,"Wash dishes, utensils or kitchen equipment in storage areas.
Maintain kitchen are clean and orderly condition.
Assist kitchen staff with various tasks.",No,,"Must be at least 18.
Must have the ability to work assigned shifts, including morning, evening, or weekend hours.",40,10:00 A.M. - 7:00 P.M.
147,Cooks,A3 CHOW LLC,"Charleston, SC",$14.96,hour,10/12/2022,5/31/2023,View Job Order,+13052153641,chowstaffing17@yahoo.com,,Yes,20,"Prepare, season and cook soup, meat, vegetables, desserts, or other foodstuff. Ensure food is
stored and cooked at correct temperature by regulating temperature ovens, broilers, grills and
roasters. Inspect and clean preparation areas, such as equipment and work surfaces, or
serving to ensure safe and sanitary food handling practices. Ensure freshness of food
handling and ingredients by checking for quality, keeping track of old and new items, and
rotating stock.",Yes,3,,40,3:00 P.M. - 11:00 P.M.
148,Dishwasher,A3 CHOW LLC,"Charleston, SC",$11.62,hour,10/12/2022,5/31/2023,View Job Order,+13052153641,chowstaffing17@yahoo.com,,Yes,10,"Wash dishes, glassware, flatware, pots, or pans, using dishwashers or by hand. Place clean dishes, utensils, or
cooking equipment in storage areas. Sort and remove trash, placing it in designated pickup areas. Sweep or
scrub floors and maintain kitchen work areas, equipment, or utensils in clean and orderly condition.",Yes,3,,40,3:00 P.M. - 11:00 P.M.
149,"Laborers and Freight, Stock, and Material Movers, Hand",Commonwealth Plywood Inc.,"Whitehall, NY",$17.36-$18.36,hour,10/15/2022,6/30/2023,View Job Order,+15184990099,sdunster@cpiwhitehall.com,,Yes,25,"Moving, sorting, and/or marking plywood material by hand throughout the different machine process stations as material exits to be placed onto forklifts.",No,,Must be able to lift 30 pounds.,40,6:00 A.M. - 2:30 P.M.
150,General Laborer - Commercial Roofing,"All-South Subcontractors, Inc.","Birmingham, AL",$18.00,hour,10/18/2022,11/30/2022,View Job Order,+12058368111,,https://alabamaworks.alabama.gov,Yes,10,"Job Duties: complete all roofing related jobs by the company, such as moving materials on and off roof surface, laying out insulation, fastening insulation to steel deck with screws, assist rolling out of membrane, fastening membrane, daily trash clean up and removal and other jobs as assigned. Must be able to climb stairs, ladders, carry ladders, walk on uneven surface, use full range of motion, operate Hand tools, power tools, drivers, and work safely adhering to all safety policies. This is an entry-level position where the person is prepared to be at work daily, as per the company's attendance policy and follow are Foreman instructions. Be willing and participate in training and learn specifics about varying roof systems. Must be able to push, pull, carry and lift 75-100lbs.

Employer will offer 40 hours of work per week. Work schedule may vary, normal 5 day schedule Monday through Friday, 7:00am – 3:00pm. Work days and shift time may vary with weather. Work on Saturdays may be required.

$18.00/hr. Employer may increase wage based on experience, changes in market conditions, and/or provide additional pay for performance and tenure. In Alabama, an overtime premium will be paid when required by Federal, State, or local law, including at time-and-a-half after 40 hours per workweek. Generally, when overtime is available it will be paid at $27.00 per hour based on locality the work is performed and the base rate of pay offered per hour. A single workweek will be used to compute wages due. Pay received weekly. 

 ",No,,"Post-employment, post-injury or incident drug test required, cost paid by employer and applied equally to all workers, U.S. and foreign/H-2B. Attendance, successfully completing safety training and job-specific safety training and punctuality is required. Must be able to work a 5 day work week, including weekends/holidays as required. Applicant must complete an employment application.
",40,7:00 A.M. - 3:00 P.M.
151,Floor Installer,Standard Service Corporation,"Orlando, FL",$19.31,hour,10/29/2022,3/15/2023,View Job Order,+13216950207,standardservice6@gmail.com,,Yes,6,"Remove existing floors, prep the floors areas and install the new flooring",Yes,3,"Lifting Requirement 70 pounds
",40,8:00 A.M. - 5:00 P.M.
152,Waiter,"EASTPOINTE COUNTRY CLUB, INC ","WEST PALM BEACH, FL",$12.57,hour,11/1/2022,5/15/2023,View Job Order,+15616124769,sbester@eastpointe-cc.com,https://www.eastpointe-cc.com,Yes,8,"- Greet members and guests in a timely, professional, and friendly manner;
- Answer member/guest's questions regarding the menu, and offer suggestions related to food, beverages, wines, and other menu related items;
- Input food and beverage orders in the Club's POS Computer System;
- Effectively communicate with Culinary and Bar departments regarding member/guest's orders;
- Assist in the delivery of food and beverage orders;
- Perform all assigned opening and closing side work;
- Anticipate and attend to member/guest's requests, concerns, complaints, or questions in a timely manner;
- Maintain cleanliness of the dining tables before, after, and throughout the entire shift;
- Attend staff meetings and educational training classes on the Club's Policies and procedures, as well as Food and Safety Courses",Yes,6,"The right candidate for the position will have a minimum of 6 months of high-end fine dining experience in a high-volume private country club, resort, or hotel.  

The physical demands described here on representative of those that must be met by an employee to successfully perform the essential functions of this job.  While performing the dues of this job, the employee is frequently required to:

Walk, sit, stand for long periods of time, bend, use hands to finger, handle, or feel; and talk or hear, stoop, kneel, crouch, close vision, distance vision, peripheral vision depth perception, and ability to adjust focus.

Lift up to 25 pounds regularly; up to 50 pounds occasionally and to lift overhead and push/pull, move lighter objects.
The work environment characteristics described here are representative of those of an employee encounters while performing the essential functions of this job.

Indoor conditions that may be warm.
Working near grill or fryer.
Noise level in the work environment is frequently loud.",40,9:00 A.M. - 10:00 P.M.
153,Wait Staff,Frenchman's Creek Beach & Country Club,"Palm Beach Gardens, FL",$12.57-$14.00,hour,11/1/2022,5/17/2023,View Job Order,+15616228300,djohnson@FrenchmansCreek.com,,Yes,7,"Wait Staff will be responsible for setting up the dining room, taking and placing customers’ orders, carrying trays, serving food and beverages, and cleaning and clearing tables.  Please see job description for additional information.",Yes,6,"The Petitioner will consider for employment any person who possesses at least six (6) months of service experience in a fine-dining or high-volume environment at a high-end restaurant, resort, hotel, or private club. Applicant must complete pre-employment background check and drug screening. Applicant must complete pre-employment COVID-19 test and provide proof of COVID-19 vaccination.  
 
",40,7:00 A.M. - 3:00 P.M.
154,Cook,EASTPOINTE COUNTRY CLUB INC,"WEST PALM BEACH, FL",$13.13,hour,11/1/2022,5/15/2023,View Job Order,+15616124769,sbester@eastpointe-cc.com,https://www.eastpointe-cc.com,Yes,4,"- Collects food and beverage products and small wares for item preparation.
- Handles assigned stations on the line/banquet including inside and outside expo, helps lead service
- Operates food production equipment according to manufacturers' instructions.
- Assists in plating food items for service.
-Notifies Chef and kitchen management in advance of unexpected product shortages.
- Makes sure all items are wrapped, dated, labeled, and stored properly.
- Cleans assigned workstation areas.
- Consistently uses safe and sanitary food handling practices.
- Carves food items on the buffet line.
- Assists with preparation of food products in any other area of the kitchen as needed.
- Performs other appropriate tasks as assigned by the Chef-Sous Chef.
- Attend staff meetings and educational training classes on the Club's Policies and procedures, as well as Food and Safety Courses",Yes,6,"The right candidate for the position will have a minimum of 6 months of high-end fine dining experience in a high-volume private country club, resort, or hotel.   

The physical demands described here on representative of those that must be met by an employee to successfully perform the essential functions of this job.  While performing the dues of this job, the employee is frequently required to:

Walk, sit, stand for long periods of time, bend, use hands to finger, handle, or feel; and talk or hear, stoop, kneel, crouch, close vision, distance vision, peripheral vision depth perception, and ability to adjust focus.

Lift up to 25 pounds regularly; up to 50 pounds occasionally and to lift overhead and push/pull, move lighter objects.
The work environment characteristics described here are representative of those of an employee encounters while performing the essential functions of this job.

Indoor conditions that may be warm.
Working near grill or fryer.
Noise level in the work environment is frequently loud.",40,9:00 A.M. - 10:00 P.M.
155,Dishwasher,JOEY'S PIZZA & PASTA HOUSE,"MARCO ISLAND, FL",$13.49,hour,11/14/2022,4/30/2023,View Job Order,+16303736825,dzanoni11@yahoo.com,,Yes,3,"Clean, sanitize, and prepare dish stations, including dish machines and sinks. Scrape and rinse items before loading into dish machine for cleaning. Properly wash all glassware, silverware, cookware, and storage containers. Unload items from dish machine and properly store. Ensure the availability of clean glassware, silverware, cookware, and other items. Empty trash containers regularly. Maintain clean/dry floors throughout the shift. Assist other kitchen staff, as needed. Maintain a clean and organized workstation. Adhere to all food safety regulations and processes

Work days vary Sun-Sat. Will work shifts of 10:00am - 6:00pm or 2:00pm -10:00pm. ",Yes,1,,40,10:00 A.M. - 6:00 P.M.
156,Front Desk Clerk/pbx Agent,Stein Collection,"Park City, UT",$21.00,hour,11/14/2022,4/14/2023,View Job Order,+14356493700,recruiting@steinlodge.com,www.steinlodge.com/careers,Yes,10,"Greets, registers, and assigns rooms to guests. Issues room key and escort instructions to bellman. Transmits and receives messages, using telephone or telephone switchboard. Answers inquiries pertaining to hotel services, shopping, dining, entertainment and travel directions. Responsible for the overall satisfaction of our guests. Establish high standards of conduct to maintain a professional image to our guests.

Employer will offer minimum 35-40 hours of work per week. Open 7 days a week, workdays vary Monday through Sunday. Normal shift times 7am-3pm, 3pm-11pm, 11pm-7am. Employees are allowed one optional 30 minute unpaid break for a meal for every 8 hour shift. Hours/shifts may vary depending upon business needs and occupancy.

Employer may increase wage based on experience, market conditions, and/or provide additional pay for performance and tenure. An overtime premium will be paid when required by Federal, State, or local law, including at time-and-a-half after 40 hours in a workweek. Generally, when overtime is available it will be paid at $31.50 per hour.",No,,"Must be able to stand for extended periods of time, and lift 50 lbs. 
Excellent communication skills, strong computer, phone, and customer service skills necessary.
Must be able to work at least 5 days per week, including weekends and holidays.
Applicants must complete an employment application. ",40,7:00 A.M. - 3:00 P.M.
157,Laundry Attendant,Stein Collection,"Park City, UT",$20.00,hour,11/14/2022,4/14/2023,View Job Order,+14356493700,recruiting@steinlodge.com,www.steinlodge.com/careers,Yes,11,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles. Fold linens to hotel standards and keep organized, neat and clean for usage.

Employer will offer minimum 35-40 hours of work per week. Open 7 days a week, workdays vary Monday through Sunday. Normal shift times 7am-3pm, 3pm-11pm, 11pm-7am. Employees are allowed one optional 30 minute unpaid break for a meal for every 8 hour shift. Hours/shifts may vary depending upon business needs and occupancy.

Employer may increase wage based on experience, market conditions, and/or provide additional pay for performance and tenure. An overtime premium will be paid when required by Federal, State, or local law, including at time-and-a-half after 40 hours in a workweek. Generally, when overtime is available it will be paid at $30.00 per hour.",No,,"Must be able to stand for extended periods of time, and lift 50 lbs.
Must be able to work at least 5 days per week, including weekends and holidays.
Applicants must complete an employment application. ",40,7:00 A.M. - 3:00 P.M.
